trait_category	trait	category	cell_type_clean	mark	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z.score	Coefficient_p	Coefficient_q
Anthropometric	Height	Other	Adipose_nuclei	H3K4me1	0.086156834	0.435525065	0.036464708	5.055026365	0.423236402	2.59E-18	1.55E-07	3.96E-08	3.903271622	4.75E-05	0.007190001
Anthropometric	Height	Kidney	Kidney	H3K4me1	0.008352579	0.053842003	0.017924355	6.446153484	2.145966708	0.011763715	1.23E-07	1.48E-07	0.829494816	0.203412234	0.672204481
Anthropometric	Height	Liver	Liver_(BI)	H3K4me1	0.053907981	0.244792652	0.028077034	4.540935267	0.520832609	3.77E-11	7.88E-08	3.97E-08	1.985408212	0.023549537	0.266377773
Anthropometric	Height	CNS	Angular_gyrus	H3K4me1	0.012820832	0.047250595	0.020170376	3.685454765	1.573250234	0.088350307	-9.24E-08	1.07E-07	-0.863818612	0.806156229	0.999998953
Anthropometric	Height	CNS	Anterior_caudate	H3K4me1	0.03814478	0.12347086	0.028689325	3.236900578	0.752116682	0.002939769	-8.01E-08	5.47E-08	-1.46549591	0.928607166	0.999998953
Anthropometric	Height	CNS	Cingulate_gyrus	H3K4me1	0.040042012	0.123151552	0.027043824	3.075558588	0.675386259	0.002186661	-9.31E-08	4.82E-08	-1.933585574	0.973417949	0.999998953
Anthropometric	Height	CNS	Hippocampus_middle	H3K4me1	0.050672227	0.172693747	0.030296111	3.408055209	0.597883944	6.41E-05	-6.57E-08	4.47E-08	-1.469727529	0.929182218	0.999998953
Anthropometric	Height	CNS	Inferior_temporal_lobe	H3K4me1	0.046465569	0.146455003	0.02827951	3.151903777	0.608612158	0.000444182	-9.25E-08	4.40E-08	-2.101063805	0.982182317	0.999998953
Anthropometric	Height	CNS	Mid_frontal_lobe	H3K4me1	0.003401449	0.020418062	0.016653358	6.002754473	4.895960311	0.308039349	5.66E-08	3.29E-07	0.172129617	0.431667815	0.870914084
Anthropometric	Height	CNS	Substantia_nigra	H3K4me1	0.037084724	0.121210487	0.024642556	3.268474805	0.664493445	0.000666133	-5.76E-08	4.61E-08	-1.250754407	0.894487953	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD15_primary	H3K4me1	0.035986131	0.102827989	0.020404868	2.857433871	0.567020342	0.001036712	-4.03E-08	3.96E-08	-1.016940997	0.845409251	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD19_primary_(BI)	H3K4me1	0.040364521	0.115919158	0.019507901	2.871808073	0.48329326	0.000132422	-7.47E-08	3.84E-08	-1.947241569	0.97424711	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD34_primary	H3K4me1	0.031855305	0.159913087	0.02643556	5.019982854	0.829863638	1.77E-06	1.07E-07	6.60E-08	1.62268031	0.052328881	0.385561143
Anthropometric	Height	Immune or hematopoietic	CD3_primary_(BI)	H3K4me1	0.029469159	0.090810332	0.01603595	3.081537981	0.544160419	0.000125538	-2.69E-08	3.72E-08	-0.721792965	0.764789112	0.999061429
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25+_CD127-_Treg_primary	H3K4me1	0.027944696	0.100229929	0.01806243	3.586724625	0.646363455	7.16E-05	-3.68E-08	4.86E-08	-0.756790523	0.775412314	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25-_CD45RA+_naive_primary	H3K4me1	0.037683037	0.128528163	0.019491559	3.41076979	0.517250225	3.87E-06	-4.15E-09	3.65E-08	-0.113818491	0.54530916	0.929215345
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25-_CD45R0+_memory_primary	H3K4me1	0.033759108	0.102108747	0.018215901	3.02462812	0.539584794	0.0001618	-5.01E-08	4.13E-08	-1.214747459	0.887768787	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25-_IL17+_PMA_Ionomycin_stim_Th17_primary	H3K4me1	0.038592671	0.12387736	0.019809831	3.209867497	0.513305525	1.49E-05	-3.44E-08	4.05E-08	-0.849859689	0.80229845	0.999998953
